job_title,skills,experience,salary,location,company,job_type,rating,remote
Data Scientist,"python,ml,statistics",2,82898,Delhi,Google,Full-time,4.3,No
Business Analyst,"excel,sql,powerbi",1,46402,Mumbai,Google,Full-time,3.9,Yes
Software Engineer,"java,python,oop",4,33822,Mumbai,Infosys,Part-time,3.6,No
Web Developer,"html,css,js",4,79242,Pune,Infosys,Full-time,4.3,Yes
Web Developer,"html,css,js",4,90963,Pune,TCS,Full-time,3.5,No
Business Analyst,"excel,sql,powerbi",4,39734,Bangalore,Google,Full-time,4.8,Yes
Backend Developer,"python,django,api",3,74126,Delhi,Infosys,Part-time,4.0,Yes
Software Engineer,"java,python,oop",1,30172,Delhi,StartupX,Part-time,4.5,No
Backend Developer,"python,django,api",4,65738,Pune,Google,Part-time,4.8,No
Backend Developer,"python,django,api",2,114037,Mumbai,Microsoft,Part-time,4.7,Yes
AI Engineer,"python,ml,dl,nlp",4,96439,Pune,Google,Full-time,3.5,No
Backend Developer,"python,django,api",3,62990,Bangalore,Google,Full-time,4.6,Yes
Software Engineer,"java,python,oop",3,104549,Pune,StartupX,Full-time,4.4,Yes
Data Engineer,"python,spark,sql",2,43007,Remote,StartupX,Part-time,3.9,No
Data Analyst,"python,sql,excel",3,51895,Mumbai,Infosys,Part-time,3.3,No
Software Engineer,"java,python,oop",4,66949,Remote,Google,Part-time,3.9,No
Web Developer,"html,css,js",4,95395,Mumbai,Microsoft,Part-time,4.0,No
Backend Developer,"python,django,api",4,85394,Bangalore,Google,Part-time,4.8,No
Data Scientist,"python,ml,statistics",1,79227,Delhi,Google,Part-time,3.3,Yes
Data Engineer,"python,spark,sql",3,51694,Bangalore,StartupX,Full-time,4.8,Yes
Data Scientist,"python,ml,statistics",4,101714,Delhi,StartupX,Part-time,4.3,Yes
Business Analyst,"excel,sql,powerbi",1,93236,Bangalore,Microsoft,Full-time,3.9,No
Business Analyst,"excel,sql,powerbi",3,65409,Pune,Infosys,Part-time,3.3,No
AI Engineer,"python,ml,dl,nlp",4,46327,Remote,Google,Full-time,4.1,Yes
Software Engineer,"java,python,oop",1,105549,Delhi,Infosys,Part-time,4.9,No
AI Engineer,"python,ml,dl,nlp",4,40514,Bangalore,Google,Full-time,4.7,Yes
Software Engineer,"java,python,oop",3,101954,Pune,StartupX,Full-time,3.7,Yes
AI Engineer,"python,ml,dl,nlp",2,41976,Remote,Microsoft,Part-time,3.6,Yes
Business Analyst,"excel,sql,powerbi",3,72821,Mumbai,TCS,Part-time,4.2,No
Backend Developer,"python,django,api",4,68753,Pune,TCS,Full-time,3.3,No
Business Analyst,"excel,sql,powerbi",2,98844,Remote,Microsoft,Part-time,3.2,Yes
Data Engineer,"python,spark,sql",4,85638,Bangalore,Microsoft,Part-time,3.2,Yes
Data Engineer,"python,spark,sql",4,45467,Delhi,Google,Part-time,3.2,Yes
Data Engineer,"python,spark,sql",4,103864,Remote,Infosys,Full-time,4.5,Yes
Data Analyst,"python,sql,excel",1,79162,Delhi,StartupX,Part-time,4.5,No
Data Engineer,"python,spark,sql",2,63575,Bangalore,TCS,Part-time,3.2,No
Data Analyst,"python,sql,excel",3,85573,Remote,Infosys,Full-time,4.9,Yes
Software Engineer,"java,python,oop",4,49930,Remote,Google,Full-time,4.1,Yes
Data Engineer,"python,spark,sql",4,80385,Bangalore,Google,Full-time,3.8,No
ML Engineer,"python,ml,dl",4,58939,Bangalore,Google,Full-time,4.6,No
Backend Developer,"python,django,api",2,44259,Pune,Google,Part-time,4.8,Yes
Backend Developer,"python,django,api",4,102080,Remote,Google,Full-time,4.6,Yes
Data Engineer,"python,spark,sql",2,49941,Delhi,TCS,Full-time,4.9,No
AI Engineer,"python,ml,dl,nlp",1,103836,Remote,Microsoft,Full-time,3.2,Yes
Data Scientist,"python,ml,statistics",3,106195,Mumbai,Infosys,Full-time,4.0,Yes
Software Engineer,"java,python,oop",3,47845,Delhi,StartupX,Full-time,4.5,Yes
ML Engineer,"python,ml,dl",1,61751,Delhi,Microsoft,Part-time,3.5,Yes
Data Engineer,"python,spark,sql",1,74422,Remote,Microsoft,Part-time,4.3,No
Data Engineer,"python,spark,sql",2,55821,Remote,TCS,Full-time,4.5,No
Data Engineer,"python,spark,sql",4,44130,Mumbai,TCS,Part-time,3.8,Yes
Software Engineer,"java,python,oop",2,97295,Bangalore,Google,Full-time,4.5,No
Data Analyst,"python,sql,excel",1,52657,Remote,StartupX,Full-time,4.0,No
Data Analyst,"python,sql,excel",4,85878,Mumbai,StartupX,Full-time,4.8,No
ML Engineer,"python,ml,dl",2,106517,Remote,Infosys,Part-time,3.3,No
Software Engineer,"java,python,oop",4,67746,Pune,TCS,Full-time,3.3,No
Data Scientist,"python,ml,statistics",3,52729,Pune,Microsoft,Part-time,4.2,Yes
Software Engineer,"java,python,oop",4,64737,Mumbai,Infosys,Full-time,4.4,Yes
Software Engineer,"java,python,oop",2,117251,Mumbai,Google,Full-time,3.6,Yes
AI Engineer,"python,ml,dl,nlp",2,56051,Delhi,Microsoft,Full-time,3.3,Yes
Data Analyst,"python,sql,excel",1,90964,Pune,TCS,Full-time,4.8,No
ML Engineer,"python,ml,dl",2,115698,Pune,Infosys,Part-time,4.8,No
ML Engineer,"python,ml,dl",3,50891,Delhi,TCS,Full-time,4.6,No
Business Analyst,"excel,sql,powerbi",4,105869,Mumbai,StartupX,Part-time,4.8,No
Data Scientist,"python,ml,statistics",3,86923,Mumbai,Microsoft,Part-time,3.1,No
Web Developer,"html,css,js",3,40992,Mumbai,TCS,Full-time,4.5,Yes
Data Scientist,"python,ml,statistics",1,103177,Delhi,StartupX,Part-time,3.8,Yes
Business Analyst,"excel,sql,powerbi",4,111309,Bangalore,TCS,Part-time,3.3,No
ML Engineer,"python,ml,dl",2,51359,Remote,StartupX,Full-time,3.1,No
Data Engineer,"python,spark,sql",3,69483,Pune,Google,Full-time,3.7,Yes
Data Engineer,"python,spark,sql",1,89358,Remote,Microsoft,Full-time,4.4,No
ML Engineer,"python,ml,dl",3,32447,Mumbai,TCS,Part-time,3.9,Yes
Backend Developer,"python,django,api",3,84552,Bangalore,StartupX,Full-time,4.5,No
Data Analyst,"python,sql,excel",2,30621,Delhi,TCS,Part-time,4.7,No
Data Engineer,"python,spark,sql",2,62306,Delhi,TCS,Full-time,3.1,Yes
Business Analyst,"excel,sql,powerbi",1,33453,Delhi,Google,Part-time,4.8,No
AI Engineer,"python,ml,dl,nlp",2,92305,Pune,Infosys,Full-time,4.3,Yes
ML Engineer,"python,ml,dl",2,88722,Mumbai,Microsoft,Part-time,4.1,Yes
AI Engineer,"python,ml,dl,nlp",3,38259,Remote,Microsoft,Part-time,4.7,Yes
Business Analyst,"excel,sql,powerbi",4,61975,Pune,StartupX,Full-time,3.2,No
Data Analyst,"python,sql,excel",3,100762,Mumbai,Infosys,Full-time,3.8,Yes
Data Scientist,"python,ml,statistics",1,95713,Delhi,Google,Full-time,3.4,Yes
AI Engineer,"python,ml,dl,nlp",4,91921,Bangalore,TCS,Full-time,3.4,Yes
Data Analyst,"python,sql,excel",2,76679,Pune,Google,Full-time,3.0,Yes
Software Engineer,"java,python,oop",3,94283,Remote,StartupX,Part-time,3.2,Yes
AI Engineer,"python,ml,dl,nlp",1,81239,Delhi,TCS,Full-time,4.0,No
Data Engineer,"python,spark,sql",1,61504,Mumbai,TCS,Part-time,4.4,Yes
Business Analyst,"excel,sql,powerbi",4,55715,Remote,Infosys,Part-time,3.0,No
Backend Developer,"python,django,api",1,117475,Remote,Infosys,Part-time,4.5,Yes
Business Analyst,"excel,sql,powerbi",3,99215,Mumbai,Google,Full-time,4.6,Yes
Backend Developer,"python,django,api",2,77216,Remote,Infosys,Full-time,4.7,No
Software Engineer,"java,python,oop",2,69711,Pune,TCS,Full-time,3.7,Yes
Web Developer,"html,css,js",4,87467,Pune,StartupX,Part-time,4.9,Yes
ML Engineer,"python,ml,dl",2,102860,Pune,StartupX,Part-time,3.9,Yes
Software Engineer,"java,python,oop",4,71592,Pune,Infosys,Part-time,3.2,Yes
ML Engineer,"python,ml,dl",4,70937,Mumbai,Google,Full-time,3.1,No
Data Scientist,"python,ml,statistics",1,52365,Delhi,Google,Part-time,3.6,Yes
AI Engineer,"python,ml,dl,nlp",2,84414,Bangalore,Google,Full-time,3.5,Yes
Business Analyst,"excel,sql,powerbi",4,46748,Delhi,Google,Full-time,4.4,No
Backend Developer,"python,django,api",1,65424,Delhi,TCS,Full-time,3.4,Yes
Data Analyst,"python,sql,excel",3,86827,Bangalore,StartupX,Full-time,4.2,No
Software Engineer,"java,python,oop",4,85700,Mumbai,Microsoft,Part-time,4.1,No
Business Analyst,"excel,sql,powerbi",4,107229,Bangalore,Infosys,Full-time,4.1,Yes
Web Developer,"html,css,js",3,52980,Bangalore,Microsoft,Part-time,3.2,No
AI Engineer,"python,ml,dl,nlp",2,75071,Mumbai,TCS,Part-time,3.1,No
Data Engineer,"python,spark,sql",2,110766,Delhi,Google,Full-time,4.9,Yes
Data Engineer,"python,spark,sql",1,59227,Pune,Infosys,Full-time,4.0,Yes
Data Engineer,"python,spark,sql",2,106797,Mumbai,Google,Full-time,3.8,Yes
Data Analyst,"python,sql,excel",1,116905,Bangalore,Google,Part-time,4.2,Yes
Data Scientist,"python,ml,statistics",4,37827,Bangalore,TCS,Full-time,3.2,No
AI Engineer,"python,ml,dl,nlp",4,54887,Remote,Microsoft,Full-time,4.8,Yes
Software Engineer,"java,python,oop",4,40712,Bangalore,Microsoft,Part-time,4.9,Yes
Backend Developer,"python,django,api",3,86979,Bangalore,TCS,Full-time,4.0,No
Software Engineer,"java,python,oop",2,71005,Pune,Microsoft,Full-time,5.0,No
Data Analyst,"python,sql,excel",2,33792,Remote,StartupX,Full-time,4.6,Yes
Backend Developer,"python,django,api",2,39117,Pune,Infosys,Full-time,4.7,Yes
ML Engineer,"python,ml,dl",2,31272,Delhi,Google,Part-time,4.6,No
Data Engineer,"python,spark,sql",3,108294,Delhi,Google,Part-time,4.8,No
Web Developer,"html,css,js",4,58173,Pune,TCS,Part-time,4.7,Yes
ML Engineer,"python,ml,dl",3,40397,Pune,Infosys,Part-time,4.4,No
Web Developer,"html,css,js",3,35510,Remote,TCS,Full-time,3.0,Yes
Data Scientist,"python,ml,statistics",1,84170,Bangalore,StartupX,Full-time,4.1,No
Data Scientist,"python,ml,statistics",4,40966,Delhi,Google,Full-time,4.2,Yes
Data Analyst,"python,sql,excel",1,69369,Mumbai,Infosys,Part-time,4.6,No
Backend Developer,"python,django,api",4,112600,Mumbai,Microsoft,Part-time,4.0,Yes
Web Developer,"html,css,js",1,114889,Delhi,Microsoft,Part-time,4.6,Yes
Backend Developer,"python,django,api",2,57581,Delhi,Microsoft,Full-time,3.3,Yes
Software Engineer,"java,python,oop",3,60624,Remote,Microsoft,Part-time,4.5,No
AI Engineer,"python,ml,dl,nlp",4,78331,Mumbai,TCS,Full-time,4.8,Yes
Data Engineer,"python,spark,sql",1,39435,Remote,Microsoft,Part-time,4.3,No
Data Analyst,"python,sql,excel",3,32693,Mumbai,TCS,Full-time,4.9,No
Data Analyst,"python,sql,excel",3,83192,Delhi,Infosys,Part-time,5.0,No
Data Engineer,"python,spark,sql",3,98972,Bangalore,StartupX,Full-time,3.8,Yes
Data Analyst,"python,sql,excel",2,70843,Delhi,Infosys,Part-time,4.2,Yes
Business Analyst,"excel,sql,powerbi",4,71624,Remote,StartupX,Full-time,4.8,Yes
Web Developer,"html,css,js",4,43823,Delhi,Infosys,Part-time,3.1,Yes
Data Engineer,"python,spark,sql",1,105325,Remote,TCS,Full-time,4.0,No
Data Scientist,"python,ml,statistics",4,97981,Mumbai,TCS,Full-time,4.9,Yes
AI Engineer,"python,ml,dl,nlp",3,65864,Mumbai,Microsoft,Full-time,4.9,No
Data Engineer,"python,spark,sql",4,55036,Pune,TCS,Part-time,3.8,No
Business Analyst,"excel,sql,powerbi",2,70446,Mumbai,Infosys,Full-time,3.7,Yes
Web Developer,"html,css,js",2,34435,Mumbai,Google,Part-time,4.4,No
Web Developer,"html,css,js",1,62790,Bangalore,StartupX,Part-time,4.9,Yes
Software Engineer,"java,python,oop",1,87167,Pune,Google,Part-time,4.5,Yes
Software Engineer,"java,python,oop",3,63677,Pune,Infosys,Part-time,3.0,Yes
Data Analyst,"python,sql,excel",2,60068,Delhi,TCS,Part-time,4.1,Yes
Backend Developer,"python,django,api",3,38896,Bangalore,Infosys,Part-time,3.1,No
Business Analyst,"excel,sql,powerbi",2,116604,Bangalore,Google,Part-time,4.2,Yes
Software Engineer,"java,python,oop",3,100167,Delhi,Microsoft,Full-time,3.8,Yes
Web Developer,"html,css,js",1,88746,Delhi,Google,Part-time,3.6,Yes
Business Analyst,"excel,sql,powerbi",1,119988,Remote,StartupX,Part-time,4.0,Yes
AI Engineer,"python,ml,dl,nlp",3,50239,Pune,TCS,Part-time,3.1,Yes
Data Analyst,"python,sql,excel",2,36482,Pune,Google,Part-time,3.1,Yes
Data Analyst,"python,sql,excel",2,107169,Bangalore,Infosys,Full-time,4.7,No
Data Scientist,"python,ml,statistics",4,52074,Delhi,Microsoft,Full-time,4.8,Yes
ML Engineer,"python,ml,dl",3,51106,Mumbai,Microsoft,Part-time,5.0,Yes
AI Engineer,"python,ml,dl,nlp",4,66202,Remote,Microsoft,Full-time,4.1,Yes
ML Engineer,"python,ml,dl",4,32784,Bangalore,Infosys,Full-time,3.3,Yes
Data Scientist,"python,ml,statistics",1,48434,Delhi,Microsoft,Full-time,4.4,Yes
Software Engineer,"java,python,oop",3,98474,Remote,Google,Full-time,4.6,No
Data Analyst,"python,sql,excel",3,47877,Remote,TCS,Part-time,4.3,No
Web Developer,"html,css,js",1,55148,Mumbai,Microsoft,Full-time,4.8,No
ML Engineer,"python,ml,dl",4,100720,Remote,Infosys,Full-time,4.8,Yes
Data Engineer,"python,spark,sql",4,106111,Pune,Microsoft,Part-time,4.8,No
Backend Developer,"python,django,api",2,103736,Mumbai,Infosys,Part-time,4.9,No
Data Engineer,"python,spark,sql",2,114783,Pune,Google,Full-time,3.4,No
Data Engineer,"python,spark,sql",2,45523,Bangalore,Microsoft,Full-time,3.9,Yes
Web Developer,"html,css,js",3,103310,Pune,Microsoft,Part-time,3.1,Yes
Data Scientist,"python,ml,statistics",4,54273,Bangalore,Google,Part-time,3.3,No
ML Engineer,"python,ml,dl",1,38178,Remote,Infosys,Full-time,4.8,Yes
AI Engineer,"python,ml,dl,nlp",1,95544,Delhi,Google,Part-time,3.7,Yes
Web Developer,"html,css,js",1,51043,Delhi,Google,Part-time,3.2,No
Software Engineer,"java,python,oop",4,114888,Remote,Infosys,Part-time,3.7,Yes
Backend Developer,"python,django,api",3,56114,Mumbai,Microsoft,Full-time,3.6,No
Web Developer,"html,css,js",3,68764,Delhi,Microsoft,Part-time,4.5,Yes
Web Developer,"html,css,js",1,113707,Remote,Infosys,Part-time,3.2,No
Backend Developer,"python,django,api",2,36046,Bangalore,StartupX,Part-time,3.1,Yes
Data Engineer,"python,spark,sql",2,100255,Delhi,Infosys,Part-time,4.1,Yes
Business Analyst,"excel,sql,powerbi",3,67493,Bangalore,TCS,Full-time,4.0,Yes
Backend Developer,"python,django,api",4,64389,Remote,Infosys,Part-time,3.0,Yes
Software Engineer,"java,python,oop",4,37181,Bangalore,Microsoft,Full-time,4.6,Yes
Software Engineer,"java,python,oop",4,70769,Bangalore,Microsoft,Full-time,3.3,Yes
Data Scientist,"python,ml,statistics",2,69694,Mumbai,TCS,Part-time,4.1,No
Data Analyst,"python,sql,excel",2,31675,Delhi,StartupX,Part-time,4.1,No
Data Analyst,"python,sql,excel",3,65862,Bangalore,TCS,Part-time,4.0,Yes
Backend Developer,"python,django,api",1,33308,Remote,Infosys,Part-time,3.0,No
Data Scientist,"python,ml,statistics",4,85608,Delhi,Microsoft,Full-time,3.8,No
Web Developer,"html,css,js",2,91556,Bangalore,TCS,Full-time,4.9,Yes
AI Engineer,"python,ml,dl,nlp",3,94158,Mumbai,Microsoft,Part-time,3.5,No
Software Engineer,"java,python,oop",4,109674,Delhi,Google,Full-time,4.8,Yes
Data Engineer,"python,spark,sql",4,118115,Pune,StartupX,Part-time,3.5,No
Data Analyst,"python,sql,excel",3,74776,Delhi,Microsoft,Full-time,4.1,Yes
Data Scientist,"python,ml,statistics",2,70247,Remote,StartupX,Full-time,4.5,Yes
Data Analyst,"python,sql,excel",3,110307,Mumbai,Infosys,Part-time,5.0,Yes
Software Engineer,"java,python,oop",2,103883,Pune,Infosys,Part-time,4.1,Yes
ML Engineer,"python,ml,dl",2,49806,Bangalore,TCS,Full-time,3.4,Yes
ML Engineer,"python,ml,dl",3,34341,Mumbai,Microsoft,Part-time,4.2,Yes
Data Scientist,"python,ml,statistics",4,102339,Delhi,Infosys,Part-time,3.0,Yes
Web Developer,"html,css,js",3,112014,Mumbai,Infosys,Full-time,4.1,Yes
Data Analyst,"python,sql,excel",4,54873,Pune,Google,Full-time,3.6,No
Data Scientist,"python,ml,statistics",4,49853,Bangalore,Google,Part-time,3.8,No
Business Analyst,"excel,sql,powerbi",2,109897,Mumbai,Microsoft,Part-time,4.8,Yes
ML Engineer,"python,ml,dl",3,77283,Bangalore,StartupX,Part-time,3.3,Yes
Business Analyst,"excel,sql,powerbi",4,74107,Remote,TCS,Full-time,3.4,No
AI Engineer,"python,ml,dl,nlp",1,91413,Bangalore,Infosys,Full-time,3.4,Yes
Software Engineer,"java,python,oop",1,45682,Remote,Infosys,Full-time,4.9,Yes
Backend Developer,"python,django,api",4,84726,Bangalore,Google,Full-time,3.8,No
ML Engineer,"python,ml,dl",1,51726,Delhi,Infosys,Full-time,3.9,No
ML Engineer,"python,ml,dl",4,71090,Bangalore,StartupX,Full-time,4.5,Yes
Web Developer,"html,css,js",1,88595,Mumbai,StartupX,Part-time,3.1,No
Data Analyst,"python,sql,excel",3,93547,Delhi,StartupX,Part-time,5.0,Yes
Backend Developer,"python,django,api",3,94637,Pune,Microsoft,Full-time,3.8,Yes
ML Engineer,"python,ml,dl",2,109643,Delhi,Google,Part-time,3.5,No
AI Engineer,"python,ml,dl,nlp",1,108952,Bangalore,Infosys,Full-time,3.5,No
Data Analyst,"python,sql,excel",1,97123,Delhi,Microsoft,Part-time,3.5,No
Business Analyst,"excel,sql,powerbi",2,115743,Delhi,StartupX,Part-time,3.3,No
AI Engineer,"python,ml,dl,nlp",2,68806,Remote,Infosys,Full-time,4.7,No
Data Analyst,"python,sql,excel",1,79830,Pune,StartupX,Full-time,3.2,No
Business Analyst,"excel,sql,powerbi",1,112308,Remote,Infosys,Full-time,4.6,No
Data Scientist,"python,ml,statistics",2,47069,Delhi,Microsoft,Full-time,3.7,Yes
Backend Developer,"python,django,api",2,58734,Mumbai,Google,Part-time,3.1,Yes
Web Developer,"html,css,js",1,54755,Remote,TCS,Full-time,5.0,Yes
Data Analyst,"python,sql,excel",1,100207,Delhi,Google,Full-time,3.6,No
Backend Developer,"python,django,api",2,75820,Mumbai,Infosys,Part-time,3.5,No
AI Engineer,"python,ml,dl,nlp",2,68733,Remote,Infosys,Part-time,4.8,Yes
Web Developer,"html,css,js",4,68295,Pune,Infosys,Full-time,4.4,Yes
Backend Developer,"python,django,api",2,89523,Pune,TCS,Full-time,3.4,Yes
Web Developer,"html,css,js",1,88982,Delhi,StartupX,Part-time,4.9,Yes
AI Engineer,"python,ml,dl,nlp",2,96461,Remote,Google,Part-time,4.2,No
Data Analyst,"python,sql,excel",4,40529,Pune,Microsoft,Part-time,3.9,Yes
Business Analyst,"excel,sql,powerbi",1,79406,Pune,Microsoft,Part-time,3.6,Yes
ML Engineer,"python,ml,dl",4,65414,Mumbai,Microsoft,Full-time,3.6,No
Business Analyst,"excel,sql,powerbi",4,119441,Pune,Google,Full-time,3.5,No
Data Analyst,"python,sql,excel",1,30827,Pune,TCS,Full-time,4.9,No
Software Engineer,"java,python,oop",1,89791,Pune,TCS,Part-time,4.2,Yes
Data Engineer,"python,spark,sql",3,112397,Remote,Microsoft,Part-time,3.2,No
Backend Developer,"python,django,api",4,40386,Delhi,Infosys,Full-time,4.3,No
Backend Developer,"python,django,api",1,86706,Bangalore,Google,Part-time,4.6,No
Business Analyst,"excel,sql,powerbi",2,74552,Mumbai,StartupX,Part-time,3.4,Yes
Software Engineer,"java,python,oop",1,58117,Delhi,TCS,Full-time,4.6,Yes
ML Engineer,"python,ml,dl",1,92647,Pune,StartupX,Full-time,3.3,Yes
ML Engineer,"python,ml,dl",4,53572,Pune,Google,Full-time,4.2,No
Web Developer,"html,css,js",2,91493,Pune,StartupX,Part-time,3.2,No
Software Engineer,"java,python,oop",4,35221,Bangalore,Google,Full-time,3.3,No
ML Engineer,"python,ml,dl",3,81757,Delhi,Google,Part-time,4.9,No
ML Engineer,"python,ml,dl",3,119432,Delhi,Microsoft,Part-time,5.0,No
ML Engineer,"python,ml,dl",1,56756,Remote,StartupX,Full-time,3.9,Yes
Data Engineer,"python,spark,sql",3,82148,Remote,StartupX,Part-time,4.1,Yes
Data Scientist,"python,ml,statistics",1,92019,Delhi,StartupX,Full-time,4.4,No
Software Engineer,"java,python,oop",2,111025,Delhi,Infosys,Part-time,3.8,No
Backend Developer,"python,django,api",1,34023,Mumbai,Infosys,Full-time,4.8,No
Business Analyst,"excel,sql,powerbi",3,102081,Delhi,Infosys,Full-time,3.4,Yes
ML Engineer,"python,ml,dl",3,63600,Delhi,Infosys,Part-time,4.1,Yes
Data Analyst,"python,sql,excel",2,70369,Mumbai,Microsoft,Full-time,3.5,Yes
Business Analyst,"excel,sql,powerbi",1,76155,Bangalore,StartupX,Part-time,3.2,Yes
Web Developer,"html,css,js",2,63080,Bangalore,StartupX,Part-time,4.9,No
Business Analyst,"excel,sql,powerbi",4,118203,Pune,TCS,Full-time,4.5,Yes
Web Developer,"html,css,js",1,110902,Bangalore,Infosys,Full-time,3.7,No
Data Analyst,"python,sql,excel",3,50216,Delhi,StartupX,Full-time,4.0,No
Data Engineer,"python,spark,sql",1,39802,Delhi,Google,Full-time,4.2,Yes
Data Scientist,"python,ml,statistics",2,74677,Delhi,TCS,Part-time,4.0,No
Business Analyst,"excel,sql,powerbi",1,77108,Pune,Infosys,Full-time,4.0,No
Backend Developer,"python,django,api",4,64075,Mumbai,TCS,Part-time,4.3,Yes
Software Engineer,"java,python,oop",3,75502,Remote,TCS,Full-time,4.5,No
Backend Developer,"python,django,api",2,104358,Pune,Microsoft,Part-time,3.8,No
Data Analyst,"python,sql,excel",2,109961,Pune,Microsoft,Full-time,4.7,Yes
Data Engineer,"python,spark,sql",1,99015,Pune,TCS,Part-time,3.5,No
AI Engineer,"python,ml,dl,nlp",3,31186,Bangalore,Microsoft,Full-time,3.2,No
Business Analyst,"excel,sql,powerbi",4,40633,Delhi,Microsoft,Part-time,3.0,No
Business Analyst,"excel,sql,powerbi",1,112518,Pune,Microsoft,Full-time,3.5,No
Data Analyst,"python,sql,excel",4,111307,Remote,Microsoft,Part-time,4.9,No
Data Scientist,"python,ml,statistics",1,117296,Mumbai,TCS,Part-time,4.3,No
